name,metal,date_added,url,rating,edition,authors,artists,pages,price,ratings_count,setting
DA3 City of the Gods (Basic),Platinum seller,5/31/2016,https://www.dmsguild.com/product/17132/DA3-City-of-the-Gods-Basic?filters=45471_0_0_0_0_0_0_0,4.4,Basic/Expert,"['Dave Arneson', 'David J. Ritchie']","['Doug Chaffee', 'Jim Holloway']",48,9.99,12,Blackmoor
XS2 Thunderdelve Mountain (Basic),Gold seller,9/27/2016,https://www.dmsguild.com/product/17155/XS2-Thunderdelve-Mountain-Basic?filters=45471_0_0_0_0_0_0_0,4.4,Original Edition (OD&D),['William Carlson'],"['Larry Elmore', 'Mario Macari']",40,9.99,11,Known World
MC12 Monstrous Compendium Dark Sun Appendix: Terrors of the Desert (2e),Platinum seller,11/18/2014,https://www.dmsguild.com/product/17180/MC12-Monstrous-Compendium-Dark-Sun-Appendix-Terrors-of-the-Desert-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,"['Tom Prusa', 'Louis J. Prosperi', 'Walter M. Baas']","['Jeff Easley', 'Tom Baxa', 'Mark Nelson']",96,,16,Dark Sun
The Will and the Way (2e),Platinum seller,11/25/2014,https://www.dmsguild.com/product/17199/The-Will-and-the-Way-2e?filters=45471_0_0_0_0_0_0_0,4.6,2nd Edition,['L. Richard Baker III'],"['Robb Ruppel', 'Tom Baxa']",96,8.99,20,Dark Sun
SJA3 Crystal Spheres (2e),Gold seller,9/23/2014,https://www.dmsguild.com/product/17247/SJA3-Crystal-Spheres-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,['J. Paul LaFountain'],"['Brom', 'Paul Abrams']",64,,6,Spelljammer
SJA4 Under the Dark Fist (2e),Gold seller,11/18/2014,https://www.dmsguild.com/product/17248/SJA4-Under-the-Dark-Fist-2e?filters=45471_0_0_0_0_0_0_0,4.4,2nd Edition,['Grant S. Boucher'],"['Gerald Brom', 'David S. LaForce']",64,8.5,10,Spelljammer
SJS1 Goblin's Return (2e),Gold seller,3/15/2016,https://www.dmsguild.com/product/17249/SJS1-Goblins-Return-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,['Bruce Nesmith'],"['Kelly Freas', 'Mark Nelson']",64,8.5,9,Spelljammer
MC6 Monstrous Compendium Kara-Tur Appendix (2e),Gold seller,3/21/2017,https://www.dmsguild.com/product/17319/MC6-Monstrous-Compendium-KaraTur-Appendix-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,['Rick Swan'],['Thomas Baxa'],64,,15,Kara-Tur
Dawn of the Overmind (2e),Gold seller,6/20/2017,https://www.dmsguild.com/product/17354/Dawn-of-the-Overmind-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,['Bruce R. Cordell'],"['Jeff Easley', 'Glen Michael Angus']",68,,3,Spelljammer
S5 The Dancing Hut of Baba Yaga (2e),Platinum seller,7/16/2013,https://www.dmsguild.com/product/17358/S5-The-Dancing-Hut-of-Baba-Yaga-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,['Lisa Smedman'],"['Jeff Easley', 'Matthew Cavotta']",64,7.5,14,No Setting
